Student Name  Average Score  Letter Grade
Mallory Short            76.86    C
Priscilla Shannon        83.57    B
Kyla Dunlap              83.14    B
Maris Tanner             77.86    C
Deacon Dyer              82.29    B
Troy Rosales             81.00    B
Chloe Whitfield          81.71    B
Dora Cochran             75.14    C
Gloria Ortiz             70.86    C
Oprah O'brien            75.57    C
Erich Casey              73.57    C
Tanner Mcneil            78.43    C
Elizabeth Velez          79.29    C
Omar Benjamin            74.29    C
Fredericka Hurley        79.43    C
Moses Schneider          79.71    C
Naida Armstrong          82.00    B
Kellie Harrington        81.43    B
Jessica Baldwin          73.43    C
Arden Weeks              75.00    C
Morgan Mccall            80.00    B
Leslie Blackwell         80.14    B
Tanya Fletcher           85.71    B
Caryn Saunders           82.00    B
Kenyon Herring           78.57    C
Emerson Bowers           75.43    C
Octavia Evans            83.86    B
Portia James             84.29    B
Ashton Stokes            72.43    C
Cain Bell                75.43    C
Allistair Spence         77.00    C
Angelica Bradley         79.29    C
Vernon Grimes            77.00    C
Delilah Oneil            76.14    C
Ann Avila                80.43    B
Caldwell Graves          79.57    C
Wilma Brewer             83.71    B
Harper Savage            69.14    D
Marvin Frost             81.71    B
Abra Compton             86.43    B
Reed Juarez              81.86    B
Slade Swanson            81.57    B
Jolene Hopper            79.57    C
Tarik Dejesus            77.14    C
Tarik Carney             77.71    C
Faith Mercado            82.57    B
Jenna Boyle              77.57    C
Ciara Mcneil             75.43    C
Chloe Murray             77.86    C
Gannon Spears            77.29    C
Illiana Landry           72.00    C
Haley James              79.71    C
Shaeleigh Forbes         82.29    B
Emily Norman             73.14    C
Igor Lane                82.86    B
Clinton Williamson       84.86    B
Cameron Riddle           83.00    B
Kyle Coffey              75.86    C
Kyle Gutierrez           83.43    B
Mikayla Mercado          82.71    B
Igor Underwood           78.00    C
Eve Barton               82.43    B
Camden Le                78.71    C
Aphrodite Dominguez      77.43    C
Ariel Stein              78.57    C
Imelda Carpenter         79.86    C
Rae Barlow               77.43    C
Francesca Franks         82.29    B
Conan Heath              80.71    B
Scarlett Rhodes          72.43    C
Diana Short              85.29    B
Regan Monroe             82.43    B
Evelyn Flores            78.86    C
Amal Mcintyre            88.14    B
Anjolie Durham           77.86    C
Baker Skinner            81.00    B
Noel Cantu               79.43    C
Ferdinand Moody          78.00    C
Jared Pate               80.57    B
Isadora Santos           79.86    C
Jordan Prince            82.00    B
Boris Herring            76.86    C

Average Score for Each Exam:
Exam 1: 73.81
Exam 2: 87.76
Exam 3: 80.23
Exam 4: 64.23
Exam 5: 87.51
Exam 6: 74.59
Exam 7: 87.09

Grade Distribution:
A: 0
B: 118
C: 166
D: 1
F: 0

Class Average: 79.32
Number of students above class average: 137
Number of students below class average: 148
